N,Sect,Year,Mo,Da,Ho,Mi,Se,EpicentralArea,MainRef,TLDef,LatDef,LonDef,DepDef,IoDef,TIoDef,MwDef,ErMwDef,TMwDef,RefM,MdpN,Imax,LatM,LonM,ErrLatM,ErrLonM,TepiM,Io,MwM,ErMwM,TMwM,RefIns,LatIns,LonIns,DepIns,MwIns,ErMwIns,TMwIns,RefMwIns,EqID,CPTI11id
122,MA,1389,10,18,,,,Alta Valtiberina,CASAL996,MM,43.527,12.299,,9,bx,6.03,0.46,Mdm,CASAL996,9,9,43.527,12.299,2.8,5.4,bx0,9,6.03,0.46,bxi,,,,,,,,,13891018_0000_000,119
123,MA,1392,01,28,00,30,,Belluno,CAMA001b,MM,46.139,12.218,,4-5,bx,3.93,0.46,Mdm,CAMA001b,1,4-5,46.139,12.218,,,bx0,4-5,3.93,0.46,bxi,,,,,,,,,13920128_0030_000,120
124,MA,1393,06,15,,,,Appennino forlivese,POST990,MM,43.996,11.912,,7,bx,5.10,0.46,Mdm,POST990,1,7,43.996,11.912,,,bx0,7,5.10,0.46,bxi,,,,,,,,,13930615_0000_000,121
125,MA,1396,11,26,,,,Monza,CFTI4med,MM,45.584,9.274,,7-8,bx,5.33,0.46,Mdm,CFTI4med,1,7-8,45.584,9.274,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,13961126_0000_000,122
126,MA,1398,04,03,,,,Aquilano,MOLAL008,MM,42.351,13.399,,6,bx,4.63,0.46,Mdm,MOLAL008,2,D,42.351,13.399,,,bx0,6,4.63,0.46,bxi,,,,,,,,,13980403_0000_000,123
127,MA,1399,07,20,23,,,Appennino modenese,CFTI4med,MM,44.441,10.925,,7,bx,5.10,0.46,Mdm,CFTI4med,6,8,44.441,10.925,22.9,0.1,bx0,7,5.10,0.46,bxi,,,,,,,,,13990720_2300_000,124
128,MA,1400,02,29,19,15,,Bologna,CFTI4med,MM,44.494,11.343,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,44.494,11.343,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14000229_1915_000,
129,MA,1400,03,03,12,15,,Bologna,CFTI4med,MM,44.494,11.343,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,44.494,11.343,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14000303_1215_000,
130,MA,1401,06,29,09,,,Belluno,CAMA001b,MM,46.139,12.218,,5,bx,4.16,0.46,Mdm,CAMA001b,1,5,46.139,12.218,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14010629_0900_000,125
131,MA,1402,,,,,,Verona,ENEL985,MM,45.439,10.994,,6,bx,4.63,0.46,Mdm,ENEL985,1,6,45.439,10.994,,,bx0,6,4.63,0.46,bxi,,,,,,,,,14020000_0000_001,126
132,MA,1403,01,12,05,30,,Belluno,CFTI4med,MM,46.139,12.218,,6,bx,4.63,0.46,Mdm,CFTI4med,1,6,46.139,12.218,,,bx0,6,4.63,0.46,bxi,,,,,,,,,14030112_0530_000,127
133,MA,1403,09,06,,,,Cividale del Friuli,CFTI4med,MM,46.093,13.431,,8,bx,5.56,0.46,Mdm,CFTI4med,1,8,46.093,13.431,,,bx0,8,5.56,0.46,bxi,,,,,,,,,14030906_0000_000,128
134,MA,1404,02,01,21,,,Belluno,CAMA001b,MM,46.139,12.218,,5,bx,4.16,0.46,Mdm,CAMA001b,1,5,46.139,12.218,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14040201_2100_000,129
135,MA,1405,06,26,13,45,,Feltrino,CFTI4med,MM,46.019,11.906,,4-5,bx,3.93,0.46,Mdm,CFTI4med,2,5-6,46.019,11.906,,,bx0,4-5,3.93,0.46,bxi,,,,,,,,,14050626_1345_000,130
136,MA,1406,05,28,21,30,,Belluno,CAMA001b,MM,46.139,12.218,,4-5,bx,3.93,0.46,Mdm,CAMA001b,1,4-5,46.139,12.218,,,bx0,4-5,3.93,0.46,bxi,,,,,,,,,14060528_2130_000,131
137,NV,1406,09,16,,,,Napoli,MOLAL008,MM,40.849,14.250,,5,bx,3.12,0.50,MIo,MOLAL008,1,5,40.849,14.250,,,bx0,5,3.12,0.50,IoV2,,,,,,,,,14060916_0000_000,132
138,MA,1408,01,03,16,30,,Bologna,CFTI4med,MM,44.494,11.343,,4,bx,3.70,0.46,Mdm,CFTI4med,2,5,44.494,11.343,,,bx0,4,3.70,0.46,bxi,,,,,,,,,14080103_1630_000,
139,MA,1409,08,17,00,35,,Ferrara,CFTI4med,MM,44.835,11.620,,6,bx,4.63,0.46,Mdm,CFTI4med,1,6,44.835,11.620,,,bx0,6,4.63,0.46,bxi,,,,,,,,,14090817_0035_000,133
140,MA,1409,11,15,11,15,,Parma,CFTI4med,MM,44.801,10.330,,7,bx,5.10,0.46,Mdm,CFTI4med,1,7,44.801,10.330,,,bx0,7,5.10,0.46,bxi,,,,,,,,,14091115_1115_000,134
141,MA,1410,05,09,22,30,,Ferrara,ENEL985,MM,44.835,11.620,,6-7,bx,4.86,0.46,Mdm,ENEL985,1,6-7,44.835,11.620,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,14100509_2230_000,135
142,MA,1410,06,10,21,,,Verona,CFTI4med,NP,,,,,,,,,CFTI4med,5,5-6,,,,,,,,,,,,,,,,,,14100610_2100_000,136
143,MA,1411,01,09,02,,,Ferrara,CFTI4med,MM,44.835,11.620,,7,bx,5.10,0.46,Mdm,CFTI4med,1,7,44.835,11.620,,,bx0,7,5.10,0.46,bxi,,,,,,,,,14110109_0200_000,137
144,MA,1411,07,01,06,,,Belluno,CAMA001b,MM,46.139,12.218,,4-5,bx,3.93,0.46,Mdm,CAMA001b,1,4-5,46.139,12.218,,,bx0,4-5,3.93,0.46,bxi,,,,,,,,,14110701_0600_000,138
145,MA,1414,08,07,,,,Colline Metallifere,CASAL996,MM,43.270,11.121,,7-8,bx,5.70,0.38,Mdm,CASAL996,8,7-8,43.270,11.121,22.9,5.8,bx0,7-8,5.70,0.38,bxn,,,,,,,,,14140807_0000_001,140
146,MA,1414,,,,,,Gargano,CFTI4med,MM,41.882,16.180,,8-9,bx,5.80,0.46,Mdm,CFTI4med,1,8-9,41.882,16.180,,,bx0,8-9,5.80,0.46,bxi,,,,,,,,,14140000_0000_000,139
147,MA,1420,,,,,,Siena,CASAL996,MM,43.318,11.332,,5-6,bx,4.40,0.46,Mdm,CASAL996,1,5-6,43.318,11.332,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14200000_0000_001,141
148,MA,1423,11,10,,,,L'Aquila,MOLAL008,MM,42.351,13.399,,5,bx,4.16,0.46,Mdm,MOLAL008,1,5,42.351,13.399,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14231110_0000_000,142
149,MA,1424,10,20,,,,Appennino tosco-romagnolo,MOLAL008,MM,44.172,11.947,,5,bx,4.16,0.46,Mdm,MOLAL008,1,5,44.172,11.947,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14241020_0000_000,143
150,MA,1425,08,10,,,,Ferrarese,MOLAL008,MM,44.835,11.620,,6,bx,4.63,0.46,Mdm,MOLAL008,2,7,44.835,11.620,,,bx0,6,4.63,0.46,bxi,,,,,,,,,14250810_0000_000,144
151,MA,1426,,,,,,Firenze,CASAL996,MM,43.773,11.257,,5-6,bx,4.40,0.46,Mdm,CASAL996,1,5-6,43.773,11.257,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14260000_0000_000,145
152,MA,1428,07,03,05,,,Forlivese,POST990,MM,44.146,12.046,,7-8,bx,5.47,0.37,Mdm,POST990,6,8,44.146,12.046,1.0,6.2,bx0,7-8,5.47,0.37,bxn,,,,,,,,,14280703_0500_000,146
153,MA,1429,06,26,,,,Siena,CFTI4med,MM,43.318,11.332,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,43.318,11.332,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14290626_0000_000,
154,MA,1429,11,10,16,20,,Messina,CFTI4med,MM,38.185,15.555,,6-7,bx,4.86,0.46,Mdm,CFTI4med,1,6-7,38.185,15.555,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,14291110_1620_000,147
155,MA,1430,08,13,00,40,,Siena,CFTI4med,MM,43.318,11.332,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,43.318,11.332,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14300813_0040_000,
156,MA,1433,05,04,08,05,,Bologna,CFTI4med,MM,44.494,11.343,,6,bx,4.63,0.46,Mdm,CFTI4med,4,7,44.494,11.343,,,bx0,6,4.63,0.46,bxi,,,,,,,,,14330504_0805_000,148
157,MA,1436,03,,,,,Siena,CASAL996,MM,43.318,11.332,,6-7,bx,4.86,0.46,Mdm,CASAL996,1,6-7,43.318,11.332,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,14360300_0000_000,149
158,MA,1438,02,02,12,15,,Colli Albani,CFTI4med,MM,41.787,12.677,,7-8,bx,5.33,0.46,Mdm,CFTI4med,1,7-8,41.787,12.677,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,14380202_1215_000,150
159,MA,1438,06,11,02,,,Parmense,CFTI4med,MM,44.844,10.239,,8,bx,5.56,0.46,Mdm,CFTI4med,4,8,44.844,10.239,2.4,7.0,bx0,8,5.56,0.46,bxi,,,,,,,,,14380611_0200_000,151
160,EV,1444,,,,,,Etna,MOLAL008,NP,,,,,,,,,MOLAL008,1,F,,,,,,,,,,,,,,,,,,14440000_0000_000,152
161,MA,1445,03,21,13,30,,Verona,ENEL985,MM,45.439,10.994,,5-6,bx,4.40,0.46,Mdm,ENEL985,1,5-6,45.439,10.994,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14450321_1330_000,153
162,MA,1448,,,,,,Messina,MOLAL008,MM,38.185,15.555,,5,bx,4.16,0.46,Mdm,MOLAL008,1,5,38.185,15.555,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14480000_0000_002,154
163,MA,1449,10,15,20,45,,Crete Senesi,CAMAL011b,MM,43.234,11.560,,6,bx,4.63,0.46,Mdm,CAMAL011b,2,7,43.234,11.560,,,bx0,6,4.63,0.46,bxi,,,,,,,,,14491016_0000_000,156
164,MA,1449,,,,,,Pinerolo,ALBAL003,MM,44.885,7.327,,5,bx,4.16,0.46,Mdm,ALBAL003,1,5,44.885,7.327,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14490000_0000_000,155
165,MA,1450,,,,,,Sicilia settentrionale,MOLAL008,MM,38.113,14.884,,5-6,bx,4.40,0.46,Mdm,MOLAL008,2,5-6,38.113,14.884,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14500000_0000_001,157
166,MA,1453,09,28,22,45,,Fiorentino,CFTI4med,MM,43.783,11.287,,7-8,bx,5.38,0.37,Mdm,CFTI4med,5,7-8,43.783,11.287,1.0,1.4,bx0,7-8,5.38,0.37,bxn,,,,,,,,,14530928_2245_000,158
167,MA,1455,02,06,,,,Appennino bolognese,CFTI4med,NP,,,,,,,,,CFTI4med,2,HD,,,,,,,,,,,,,,,,,,14550206_0000_000,159
168,MA,1455,12,20,20,45,,Appennino bolognese,CFTI4med,MM,44.494,11.343,,5-6,bx,4.40,0.46,Mdm,CFTI4med,5,6-7,44.494,11.343,,,bxM,5-6,4.40,0.46,bxi,,,,,,,,,14551220_2045_000,160
169,MA,1456,12,05,,,,Appennino centro-meridionale,MELAL988,MM,41.302,14.711,,11,bx,7.19,0.10,Mdm,MELAL988,199,11,41.302,14.711,10.6,10.4,bx0,11,7.19,0.10,bxn,,,,,,,,,14561205_0000_000,161
170,MA,1456,12,09,,,,Sansepolcro,CASAL996,MM,43.570,12.141,,5-6,bx,4.40,0.46,Mdm,CASAL996,1,5-6,43.570,12.141,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14561209_0000_000,162
171,MA,1456,12,30,08,20,,Appennino centro-meridionale,CFTI4med,NP,,,,,,,,,CFTI4med,2,7,,,,,,,,,,,,,,,,,,14561230_0820_000,
172,NV,1457,01,08,,,,Napoli,CFTI4med,MM,40.849,14.250,,6,bx,3.37,0.50,MIo,CFTI4med,1,6,40.849,14.250,,,bx0,6,3.37,0.50,IoV2,,,,,,,,,14570108_0000_000,163
173,MA,1457,02,10,,,,Capua,CFTI4med,MM,41.106,14.214,,5-6,bx,4.40,0.46,Mdm,CFTI4med,2,6-7,41.106,14.214,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14570210_0000_000,164
174,MA,1458,04,26,12,15,,Alta Valtiberina,CFTI4med,MM,43.463,12.236,,8-9,bx,5.80,0.46,Mdm,CFTI4med,5,8-9,43.463,12.236,6.7,4.3,bx0,8-9,5.80,0.46,bxi,,,,,,,,,14580426_1215_000,165
175,MA,1458,05,01,00,35,,Alta Valtiberina,CFTI4med,MM,43.457,12.239,,6,bx,4.63,0.46,Mdm,CFTI4med,2,7,43.457,12.239,,,bx0,6,4.63,0.46,bxi,,,,,,,,,14580501_0035_000,166
176,MA,1458,05,,,,,Appennino umbro-marchigiano,CAMAL011b,MM,43.194,13.229,,5-6,bx,4.40,0.46,Mdm,CAMAL011b,2,D,43.194,13.229,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14580500_0000_000,
177,MA,1461,11,27,23,05,,Aquilano,CFTI4med,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14611127_2305_000,
178,MA,1461,11,27,,,,Aquilano,TERAL009,MM,42.308,13.543,,10,bx,6.50,0.46,Mdm,TERAL009,8,10,42.308,13.543,1.1,2.5,bx0,10,6.50,0.46,bxi,,,,,,,,,14611127_2105_000,168
179,MA,1462,01,03,20,25,,Aquilano,CFTI4med,MM,42.351,13.399,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,42.351,13.399,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14620103_2025_000,
180,MA,1462,01,04,22,25,,Aquilano,CFTI4med,MM,42.351,13.399,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,42.351,13.399,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14620104_2225_000,
181,MA,1462,03,27,02,,,Aquilano,CFTI4med,MM,42.351,13.399,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,42.351,13.399,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14620327_0200_000,
182,MA,1464,03,24,,,,Garfagnana,CFTI4med,MM,43.996,10.457,,5,bx,4.16,0.46,Mdm,CFTI4med,2,5,43.996,10.457,17.0,3.8,bx0,5,4.16,0.46,bxi,,,,,,,,,14640324_0000_000,
183,MA,1465,04,07,15,30,,Pianura emiliana,CFTI4med,MM,44.698,10.631,,5-6,bx,4.40,0.46,Mdm,CFTI4med,5,6-7,44.698,10.631,,,bxM,5-6,4.40,0.46,bxi,,,,,,,,,14650407_1530_000,169
184,MA,1465,05,17,,,,Gubbio,MONA987,MM,43.351,12.577,,6,bx,4.63,0.46,Mdm,MONA987,1,6,43.351,12.577,,,bx0,6,4.63,0.46,bxi,,,,,,,,,14650517_0000_000,170
185,MA,1466,01,15,02,25,,Irpinia-Basilicata,CFTI4med,MM,40.765,15.334,,8-9,bx,5.98,0.17,Mdm,CFTI4med,31,8-9,40.765,15.334,2.9,2.4,bx0,8-9,5.98,0.17,bxn,,,,,,,,,14660115_0225_000,171
186,MA,1466,12,20,11,,,Aquilano,CFTI4med,MM,42.351,13.399,,5,bx,4.16,0.46,Mdm,CFTI4med,2,6,42.351,13.399,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14661220_1100_000,172
187,MA,1466,12,26,,,,Gubbio,MONA987,MM,43.351,12.577,,6,bx,4.63,0.46,Mdm,MONA987,1,6,43.351,12.577,,,bx0,6,4.63,0.46,bxi,,,,,,,,,14661226_0000_000,173
188,MA,1467,08,22,20,20,,Siena,CFTI4med,MM,43.318,11.332,,5-6,bx,4.40,0.46,Mdm,CFTI4med,1,5-6,43.318,11.332,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14670822_2020_000,174
189,MA,1467,09,03,,,,Siena,CFTI4med,MM,43.318,11.332,,6-7,bx,4.86,0.46,Mdm,CFTI4med,1,6-7,43.318,11.332,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,14670903_0000_000,175
190,MA,1468,06,06,10,30,,Romagna,CFTI4med,MM,44.059,12.568,,4,bx,3.70,0.46,Mdm,CFTI4med,3,5,44.059,12.568,,,bx0,4,3.70,0.46,bxi,,,,,,,,,14680606_1030_000,
191,MA,1469,04,07,06,25,,Firenze,CFTI4med,MM,43.773,11.257,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,43.773,11.257,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14690407_0625_000,
192,NV,1470,01,,,,,Campi Flegrei (Pozzuoli),GUICI011,MM,40.822,14.123,,7,bx,3.63,0.50,MIo,GUICI011,1,7,40.822,14.123,,,bx0,7,3.63,0.50,IoV2,,,,,,,,,14700100_0000_000,
193,MA,1470,04,11,,,,Appennino bolognese,MARG984,MM,44.162,11.037,,8,bx,5.56,0.46,Mdm,MARG984,1,8,44.162,11.037,,,bx0,8,5.56,0.46,bxi,,,,,,,,,14700411_0000_000,176
194,MA,1471,03,,,,,Gubbio,MOLAL008,MM,43.351,12.577,,5,bx,4.16,0.46,Mdm,MOLAL008,1,5,43.351,12.577,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14710300_0000_000,178
195,MA,1471,08,15,16,40,,Brescia,CFTI4med,MM,45.539,10.220,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,45.539,10.220,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14710815_1640_000,
196,MA,1471,,,,,,Brescia,ENEL985,MM,45.539,10.220,,4,bx,3.70,0.46,Mdm,ENEL985,1,F,45.539,10.220,,,bx0,4,3.70,0.46,bxi,,,,,,,,,14710000_0000_001,177
197,MA,1472,05,14,,,,Friuli,ALBAL003,NP,,,,,,,,,ALBAL003,2,D,,,,,,,,,,,,,,,,,,14720514_0000_001,180
198,MA,1472,,,,,,Rimini,POST990,MM,44.059,12.568,,7,bx,5.10,0.46,Mdm,POST990,1,7,44.059,12.568,,,bx0,7,5.10,0.46,bxi,,,,,,,,,14720000_0000_002,179
199,MA,1473,02,02,,,,Rimini,AMGNDT995,MM,44.059,12.568,,5-6,bx,4.40,0.46,Mdm,AMGNDT995,1,5-6,44.059,12.568,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14730202_0000_000,181
200,MA,1473,05,07,07,45,,Milanese,CFTI4med,MM,45.464,9.191,,4,bx,3.70,0.46,Mdm,CFTI4med,5,5,45.464,9.191,,,bx0,4,3.70,0.46,bxi,,,,,,,,,14730507_0745_000,
201,MA,1474,03,11,20,30,,Modena,ENEL985,MM,44.647,10.926,,5,bx,4.16,0.46,Mdm,ENEL985,3,6,44.647,10.926,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14740311_2030_000,182
202,MA,1474,08,18,,,,Ancona,STUC988,MM,43.619,13.513,,7,bx,5.10,0.46,Mdm,STUC988,1,7,43.619,13.513,,,bx0,7,5.10,0.46,bxi,,,,,,,,,14740818_0000_000,183
203,MA,1477,01,30,16,,,Valle Umbra,CFTI4med,MM,42.955,12.704,,5-6,bx,4.40,0.46,Mdm,CFTI4med,1,5-6,42.955,12.704,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14770130_1600_000,184
204,MA,1477,02,03,01,,,Valle Umbra,CFTI4med,MM,42.955,12.704,,6-7,bx,4.86,0.46,Mdm,CFTI4med,3,7-8,42.955,12.704,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,14770203_0100_000,185
205,MA,1479,10,10,22,,,Forlì,POST990,MM,44.222,12.040,,5,bx,4.16,0.46,Mdm,POST990,2,6,44.222,12.040,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14791010_2200_000,186
206,MA,1480,,,,,,Ascolano,MONCA992,MM,42.919,13.835,,6-7,bx,4.86,0.46,Mdm,MONCA992,4,7-8,42.919,13.835,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,14800000_0000_001,187
207,MA,1481,02,06,21,15,,Monti Pisani,CFTI4med,MM,43.781,10.454,,5-6,bx,4.40,0.46,Mdm,CFTI4med,4,5-6,43.781,10.454,7.0,4.1,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14810206_2115_000,188
208,MA,1481,02,07,06,20,,Lucca,CFTI4med,MM,43.843,10.505,,5-6,bx,4.40,0.46,Mdm,CFTI4med,1,5-6,43.843,10.505,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14810207_0620_000,189
209,MA,1481,02,07,22,45,,Pianura emiliana,CFTI4med,MM,44.724,10.628,,5,bx,4.16,0.46,Mdm,CFTI4med,2,5,44.724,10.628,8.6,23.5,bx0,5,4.16,0.46,bxi,,,,,,,,,14810207_2245_000,
210,MA,1481,05,07,14,15,,Lunigiana,CFTI4med,MM,44.274,10.130,,8,bx,5.60,0.41,Mdm,CFTI4med,6,8,44.274,10.130,2.1,2.2,bx0,8,5.60,0.41,bxn,,,,,,,,,14810507_1415_000,190
211,MA,1483,03,03,22,,,Ferrara,ENEL985,MM,44.835,11.620,,5-6,bx,4.40,0.46,Mdm,ENEL985,1,5-6,44.835,11.620,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14830303_2200_000,191
212,MA,1483,08,11,19,40,,Romagna,CFTI4med,MM,44.155,12.229,,8,bx,5.69,0.28,Mdm,CFTI4med,14,8-9,44.155,12.229,3.8,3.3,bx0,8,5.69,0.28,bxn,,,,,,,,,14830811_1940_000,192
213,MA,1484,01,19,,,,Sabina,AMGNDT995,MM,42.092,12.565,,6-7,bx,5.02,0.57,Mdm,AMGNDT995,6,6-7,42.092,12.565,3.1,3.1,bx0,6-7,5.02,0.57,bxn,,,,,,,,,14840119_0000_000,194
214,MA,1484,,,,,,Sansepolcro,CAST004b,MM,43.570,12.141,,7,bx,5.10,0.46,Mdm,CAST004b,1,7,43.570,12.141,,,bx0,7,5.10,0.46,bxi,,,,,,,,,14840000_0000_001,193
215,MA,1485,09,01,,,,Pianura padano-veneta,ENEL985,MM,45.355,11.721,,5,bx,4.16,0.46,Mdm,ENEL985,4,5-6,45.355,11.721,40.6,46.1,bx0,5,4.16,0.46,bxi,,,,,,,,,14850901_0000_000,195
216,MA,1485,,,,,,Reggio nell'Emilia,CFTI4med,MM,44.698,10.631,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,44.698,10.631,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14850000_0000_000,
217,MA,1486,09,30,,,,Siena,CASAL996,MM,43.318,11.332,,5-6,bx,4.40,0.46,Mdm,CASAL996,1,5-6,43.318,11.332,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14860930_0000_000,196
218,MA,1487,01,11,15,40,,Ferrara,CFTI4med,MM,44.835,11.620,,4,bx,3.70,0.46,Mdm,CFTI4med,2,5,44.835,11.620,,,bx0,4,3.70,0.46,bxi,,,,,,,,,14870111_1540_000,
219,MA,1489,,,,,,Sansepolcro,POST990,MM,43.570,12.141,,7,bx,5.10,0.46,Mdm,POST990,1,7,43.570,12.141,,,bx0,7,5.10,0.46,bxi,,,,,,,,,14890000_0000_002,197
220,MA,1490,06,10,,,,Sicilia settentrionale,MOLAL008,MM,37.816,14.614,,7,bx,5.10,0.46,Mdm,MOLAL008,4,7,37.816,14.614,22.3,7.4,bx0,7,5.10,0.46,bxi,,,,,,,,,14900610_0000_000,198
221,MA,1491,01,24,23,50,,Padova,CFTI4med,MM,45.407,11.875,,6-7,bx,4.86,0.46,Mdm,CFTI4med,1,D,45.407,11.875,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,14910124_2350_000,199
222,MA,1492,01,,,,,Forlì,CFTI4med,MM,44.222,12.040,,6-7,bx,4.86,0.46,Mdm,CFTI4med,1,6-7,44.222,12.040,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,14920100_0000_000,200
223,MA,1493,08,24,,,,Gemona del Friuli,CAMAL012,MM,46.279,13.135,,5,bx,4.16,0.46,Mdm,CAMAL012,1,5,46.279,13.135,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14930824_0000_000,201
224,MA,1494,05,29,02,15,,Messina,CFTI4med,MM,38.185,15.555,,7-8,bx,5.33,0.46,Mdm,CFTI4med,1,7-8,38.185,15.555,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,14940529_0215_000,202
225,MA,1494,06,13,,,,Nice,CAST015,MM,43.700,7.267,,5-6,bx,4.40,0.46,Mdm,CAST015,2,5-6,43.700,7.267,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14940613_0000_000,203
226,MA,1496,06,04,08,30,,Siena,CAMAL011b,MM,43.318,11.332,,7,bx,5.10,0.46,Mdm,CAMAL011b,1,7,43.318,11.332,,,bx0,7,5.10,0.46,bxi,,,,,,,,,14960604_0000_000,
227,MA,1496,06,04,,,,Siena,CFTI4med,MM,43.318,11.332,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,43.318,11.332,,,bx0,5,4.16,0.46,bxi,,,,,,,,,14960604_0000_001,
228,MA,1496,06,,,,,Valle Umbra,AMGNDT995,MM,42.806,12.742,,5,bx,4.16,0.46,Mdm,AMGNDT995,3,6,42.806,12.742,7.8,0.4,bx0,5,4.16,0.46,bxi,,,,,,,,,14960600_0000_000,204
229,MA,1497,03,03,,,,Lunigiana,CAMAL011b,NP,,,,,,,,,CAMAL011b,1,D,,,,,,,,,,,,,,,,,,14970303_0000_000,205
230,MA,1498,04,10,,,,L'Aquila,MONCA992,MM,42.351,13.399,,5-6,bx,4.40,0.46,Mdm,MONCA992,1,5-6,42.351,13.399,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14980410_0000_000,207
231,MA,1498,04,11,08,50,,Senese,CAMAL011b,MM,43.197,11.506,,5-6,bx,4.40,0.46,Mdm,CAMAL011b,2,6-7,43.197,11.506,13.5,14.1,bx0,5-6,4.40,0.46,bxi,,,,,,,,,14980411_0000_000,208
232,MA,1498,04,,,,,Berna,ECOS-09,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14980400_0000_000,206
233,MA,1498,09,03,14,,,Berna,ECOS-09,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14980903_1500_000,209
234,NV,1498,10,07,,,,Campi Flegrei (Pozzuoli),GUICI011,MM,40.835,14.186,,5-6,bx,3.25,0.50,MIo,GUICI011,4,5-6,40.835,14.186,0.9,3.1,bx0,5-6,3.25,0.50,IoV2,,,,,,,,,14981007_0000_000,
235,NV,1498,10,20,,,,Campi Flegrei (Pozzuoli),GUICI011,MM,40.822,14.123,,7,bx,3.63,0.50,MIo,GUICI011,2,7,40.822,14.123,,,bx0,7,3.63,0.50,IoV2,,,,,,,,,14981020_0000_000,
236,NV,1499,03,18,01,45,,Napoli,GUICI011,MM,40.849,14.250,,5,bx,3.12,0.50,MIo,GUICI011,1,5,40.849,14.250,,,bx0,5,3.12,0.50,IoV2,,,,,,,,,14990318_0145_000,
237,MA,1499,11,09,,,,Messina,BARAL996,MM,38.185,15.555,,7-8,bx,5.33,0.46,Mdm,BARAL996,1,7-8,38.185,15.555,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,14991109_0000_000,210
238,MA,1499,12,05,22,,,Nola,CAMAL011b,MM,40.926,14.529,,8,bx,5.56,0.46,Mdm,CAMAL011b,1,8,40.926,14.529,,,bx0,8,5.56,0.46,bxi,,,,,,,,,14991205_2200_000,
239,MA,1501,06,05,10,,,Modenese,CFTI4med,MM,44.519,10.844,,9,bx,6.05,0.19,Mdm,CFTI4med,17,9,44.519,10.844,1.0,3.0,bx0,9,6.05,0.19,bxn,,,,,,,,,15010605_1000_000,211
